epoch,acc,loss,val_acc,val_loss
0,0.21493212670079881,2.2364366776707771,0.28729838709677419,2.1125326771889963
1,0.27096087305286254,2.100173117094672,0.29284274193548387,1.9726268360691686
2,0.29584775086505188,1.9844397586934708,0.31653225806451613,1.903213724974663
3,0.30702688315541687,1.9057238251724427,0.328125,1.7779558752813647
4,0.32499334575657457,1.8364443580997032,0.35030241935483869,1.6997554946330287
5,0.3468192706947032,1.7807771234966701,0.35483870967741937,1.5914509354099151
6,0.37223848815940941,1.6957591154298028,0.42036290322580644,1.5563903883580239
7,0.38687782805826487,1.6454917182622832,0.4526209677419355,1.4893517585531357
8,0.40471120575720049,1.5866221907546871,0.42792338709677419,1.4000734114839184
9,0.4273356401701382,1.5036238056248352,0.49344758064516131,1.3255159316524383
10,0.44237423477764298,1.4691952564375559,0.48235887096774194,1.3883879376995949
11,0.45834442375028012,1.4137393620092247,0.50705645161290325,1.2965269675177913
12,0.47524620708408333,1.3682911294490885,0.51058467741935487,1.227989582765487
13,0.49188182060154378,1.3320431444027463,0.53427419354838712,1.1868033774437443
14,0.50372637749225946,1.292336482014274,0.53780241935483875,1.181649939667794
15,0.51038062286910013,1.2638294179610252,0.545866935483871,1.1524759199350112
16,0.51330849081714136,1.2446422164415405,0.55947580645161288,1.1426957355391594
17,0.53100878363566928,1.2053056156378272,0.57409274193548387,1.0911925685021184
18,0.53872770828581373,1.1767526196932139,0.57963709677419351,1.0773317837907421
19,0.54857599151429581,1.1557539848371297,0.59072580645161288,1.0795704107130728
20,0.55177002929454477,1.1282973439572244,0.54838709677419351,1.1049383167297608
21,0.56907106734889601,1.115943120520325,0.55493951612903225,1.0768516236735928
22,0.57406914893617023,1.0714803241668864,0.58618951612903225,1.0096009469801379
23,0.5807825392679804,1.0607162826328416,0.60685483870967738,1.0126260605550581
24,0.58684070331337734,1.0425467810131606,0.61088709677419351,0.96765815298403468
25,0.59701889806489283,1.030748733885275,0.59576612903225812,0.99614681639978964
26,0.59715198299686167,1.0151200698733742,0.61743951612903225,0.95084697176371846
27,0.60713335114144762,0.98402730089760793,0.62903225806451613,0.94256575742075521
28,0.61232366249667292,0.97175170845702386,0.61391129032258063,0.97148629494251748
29,0.6184455682884229,0.96331227933088137,0.610383064516129,0.93407127549571378
30,0.62390204953931572,0.94163525843829721,0.63407258064516125,0.90282607967815087
31,0.6257652382219856,0.92834476054523862,0.63256048387096775,0.88337099095506055
32,0.64080383290881515,0.89908380127029275,0.64969758064516125,0.88284400033373989
33,0.64133617254150077,0.89347592547500199,0.65776209677419351,0.87215798973075809
34,0.64253393665554992,0.88057652530690478,0.65977822580645162,0.86250964359891025
35,0.65877029544849619,0.84214608612801756,0.65020161290322576,0.86032064210984016
36,0.64958743680053355,0.84678148211143356,0.64768145161290325,0.84576137387944805
37,0.65597551239276142,0.83796636847888717,0.66834677419354838,0.82613732016855668
38,0.66369443705877096,0.82441338764279015,0.6723790322580645,0.78555459625297974
39,0.66249667290902559,0.80646385827977063,0.66784274193548387,0.79919959869115587
40,0.67008251264306629,0.80972095664777999,0.67741935483870963,0.75574866201608415
41,0.67753526751653037,0.7858897556578317,0.67741935483870963,0.83127709406037487
42,0.68152781477753777,0.77076684813059038,0.670866935483871,0.80382995115172473
43,0.6819270695337819,0.76189145326043239,0.68296370967741937,0.73505218687557405
44,0.68512110728230091,0.7548488978854766,0.65070564516129037,0.81996634626580822
45,0.69390471126920905,0.7376239381954649,0.70161290322580649,0.7353761569867211
46,0.69803034339079295,0.72192566331980679,0.67842741935483875,0.73742650208934657
47,0.70974181530987734,0.70239863692048321,0.67691532258064513,0.7606596441999558
48,0.70841096625989319,0.71132101479889009,0.69102822580645162,0.71959353022037009
49,0.70548309823252719,0.69391582985967593,0.66481854838709675,0.77502579542417682
